trial,voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
2,510.7,24.26,2.67,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,34.59,5.14,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,24.84,5.2,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,34.49,5.44,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,28.85,5.07,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,34.57,4.49,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,28.35,4.97,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,27.15,4.59,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,29.12,4.62,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,35.99,5.29,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
2,510.7,37.05,5.02,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
