trial,voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
3,510.1,15.39,0.73,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,13.87,0.79,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,17.78,1.21,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,13.56,1.06,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,18.0,1.25,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,13.77,1.03,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,14.65,1.29,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,15.0,1.09,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
3,510.1,14.16,2.76,15.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
