trial,voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
4,511.1,5.69,1.46,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,7.62,1.23,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,8.43,1.83,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,8.91,1.44,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,8.3,1.71,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,8.21,1.86,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,7.57,1.89,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,8.05,2.08,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
4,511.1,7.52,2.26,4.99,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
