trial,voltage_V,neutral_fall_seconds,charged_rise_seconds,ionization_seconds,d,rho,g,eta,b,p,room_temp
7,511.3,10.59,3.22,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,10.66,4.77,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,10.11,4.14,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,8.3,3.36,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,13.67,3.69,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,9.98,3.16,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,10.3,3.41,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,10.64,3.17,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,9.91,3.01,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
7,511.3,9.15,3.39,0.0,0.0076,886,9.8,1.83e-5,0.0082,101520.0,21
