rx	V(n002)-V(n004)	I(VSense)
1.000000000000000e+00	1.488577e-02	1.653975e-03
1.009900000000000e+02	1.266992e-02	1.407770e-03
2.009800000000000e+02	1.087171e-02	1.207967e-03
3.009700000000000e+02	9.383202e-03	1.042579e-03
4.009600000000000e+02	8.130670e-03	9.034188e-04
5.009500000000000e+02	7.062316e-03	7.847060e-04
6.009399999999999e+02	6.140232e-03	6.822422e-04
7.009299999999999e+02	5.336165e-03	5.929050e-04
8.009200000000000e+02	4.629016e-03	5.143239e-04
9.009100000000000e+02	4.001975e-03	4.446665e-04
1.000900000000000e+03	3.442526e-03	3.824946e-04
1.100890000000000e+03	2.939939e-03	3.266629e-04
1.200880000000000e+03	2.486229e-03	2.762488e-04
1.300870000000000e+03	2.074480e-03	2.305001e-04
1.400860000000000e+03	1.699209e-03	1.887979e-04
1.500850000000000e+03	1.355648e-03	1.506280e-04
1.600840000000000e+03	1.039982e-03	1.155599e-04
1.700830000000000e+03	7.488728e-04	8.323028e-05
1.800820000000000e+03	4.799366e-04	5.333039e-05
1.900810000000000e+03	2.303123e-04	2.559625e-05
2.000800000000000e+03	-1.907349e-06	-1.992269e-07
2.100790000000000e+03	-2.183914e-04	-2.425245e-05
2.200780000000000e+03	-4.205704e-04	-4.673416e-05
2.300770000000000e+03	-6.101131e-04	-6.779350e-05
2.400760000000000e+03	-7.882118e-04	-8.756132e-05
2.500750000000000e+03	-9.553432e-04	-1.061529e-04
2.600740000000000e+03	-1.113176e-03	-1.236702e-04
2.700730000000000e+03	-1.261950e-03	-1.402036e-04
2.800720000000000e+03	-1.402617e-03	-1.558339e-04
2.900710000000000e+03	-1.535892e-03	-1.706331e-04
3.000700000000000e+03	-1.662016e-03	-1.846657e-04
3.100690000000000e+03	-1.781940e-03	-1.979897e-04
3.200680000000000e+03	-1.895905e-03	-2.106576e-04
3.300670000000000e+03	-2.004623e-03	-2.227167e-04
3.400660000000000e+03	-2.107859e-03	-2.342097e-04
3.500650000000000e+03	-2.206564e-03	-2.451757e-04
3.600640000000000e+03	-2.300978e-03	-2.556501e-04
3.700630000000000e+03	-2.390862e-03	-2.656651e-04
3.800620000000000e+03	-2.477407e-03	-2.752505e-04
3.900610000000000e+03	-2.559900e-03	-2.844332e-04
4.000600000000000e+03	-2.639055e-03	-2.932381e-04
4.100590000000000e+03	-2.715111e-03	-3.016881e-04
4.200580000000000e+03	-2.788305e-03	-3.098041e-04
4.300570000000000e+03	-2.858400e-03	-3.176056e-04
4.400559999999999e+03	-2.925873e-03	-3.251106e-04
4.500550000000000e+03	-2.990961e-03	-3.323356e-04
4.600540000000000e+03	-3.053665e-03	-3.392960e-04
4.700530000000000e+03	-3.113985e-03	-3.460060e-04
4.800520000000000e+03	-3.172398e-03	-3.524791e-04
4.900509999999999e+03	-3.228664e-03	-3.587274e-04
5.000500000000000e+03	-3.282785e-03	-3.647624e-04
5.100490000000000e+03	-3.335476e-03	-3.705951e-04
5.200480000000000e+03	-3.386259e-03	-3.762352e-04
5.300469999999999e+03	-3.435135e-03	-3.816923e-04
5.400460000000000e+03	-3.482819e-03	-3.869750e-04
5.500450000000000e+03	-3.528833e-03	-3.920917e-04
5.600440000000000e+03	-3.573418e-03	-3.970499e-04
5.700429999999999e+03	-3.616810e-03	-4.018571e-04
5.800420000000000e+03	-3.658772e-03	-4.065199e-04
5.900410000000000e+03	-3.699303e-03	-4.110447e-04
6.000400000000000e+03	-3.738880e-03	-4.154377e-04
6.100389999999999e+03	-3.777504e-03	-4.197045e-04
6.200380000000000e+03	-3.814697e-03	-4.238504e-04
6.300370000000000e+03	-3.850937e-03	-4.278805e-04
6.400360000000000e+03	-3.886223e-03	-4.317996e-04
6.500349999999999e+03	-3.920555e-03	-4.356123e-04
6.600339999999999e+03	-3.953934e-03	-4.393227e-04
6.700330000000000e+03	-3.986359e-03	-4.429350e-04
6.800320000000000e+03	-4.018068e-03	-4.464530e-04
6.900309999999999e+03	-4.049063e-03	-4.498803e-04
7.000299999999999e+03	-4.079103e-03	-4.532204e-04
7.100290000000000e+03	-4.108191e-03	-4.564767e-04
7.200280000000000e+03	-4.136801e-03	-4.596521e-04
7.300270000000000e+03	-4.164934e-03	-4.627497e-04
7.400259999999999e+03	-4.192114e-03	-4.657723e-04
7.500250000000000e+03	-4.218578e-03	-4.687227e-04
7.600240000000000e+03	-4.244566e-03	-4.716032e-04
7.700230000000000e+03	-4.269600e-03	-4.744165e-04
7.800219999999999e+03	-4.294395e-03	-4.771649e-04
7.900210000000000e+03	-4.318714e-03	-4.798505e-04
8.000200000000000e+03	-4.342318e-03	-4.824754e-04
8.100190000000000e+03	-4.365444e-03	-4.850418e-04
8.200180000000000e+03	-4.388094e-03	-4.875516e-04
8.300170000000000e+03	-4.410267e-03	-4.900065e-04
8.400160000000000e+03	-4.431725e-03	-4.924085e-04
8.500150000000000e+03	-4.452944e-03	-4.947591e-04
8.600139999999999e+03	-4.473686e-03	-4.970600e-04
8.700129999999999e+03	-4.493713e-03	-4.993128e-04
8.800119999999999e+03	-4.513502e-03	-5.015190e-04
8.900109999999999e+03	-4.533052e-03	-5.036799e-04
9.000100000000000e+03	-4.552126e-03	-5.057970e-04
9.100090000000000e+03	-4.570961e-03	-5.078717e-04
9.200080000000000e+03	-4.589319e-03	-5.099050e-04
9.300070000000000e+03	-4.607201e-03	-5.118984e-04
9.400059999999999e+03	-4.624605e-03	-5.138529e-04
9.500049999999999e+03	-4.642010e-03	-5.157697e-04
9.600039999999999e+03	-4.658937e-03	-5.176499e-04
9.700029999999999e+03	-4.675388e-03	-5.194944e-04
9.800019999999999e+03	-4.691839e-03	-5.213043e-04
