rx	V(n002)-V(n004)	I(VSense)
1.000000000000000e+00	1.412792e-01	1.569769e-03
1.009900000000000e+02	1.206128e-01	1.340142e-03
2.009800000000000e+02	1.037492e-01	1.152769e-03
3.009700000000000e+02	8.972728e-02	9.969705e-04
4.009600000000000e+02	7.788467e-02	8.653851e-04
5.009500000000000e+02	6.774974e-02	7.527754e-04
6.009399999999999e+02	5.897808e-02	6.553128e-04
7.009299999999999e+02	5.131209e-02	5.701337e-04
8.009200000000000e+02	4.455483e-02	4.950537e-04
9.009100000000000e+02	3.855395e-02	4.283771e-04
1.000900000000000e+03	3.318906e-02	3.687679e-04
1.100890000000000e+03	2.836418e-02	3.151589e-04
1.200880000000000e+03	2.400184e-02	2.666877e-04
1.300870000000000e+03	2.003837e-02	2.226494e-04
1.400860000000000e+03	1.642179e-02	1.824624e-04
1.500850000000000e+03	1.310802e-02	1.456428e-04
1.600840000000000e+03	1.006055e-02	1.117843e-04
1.700830000000000e+03	7.248878e-03	8.054347e-05
1.800820000000000e+03	4.646540e-03	5.162809e-05
1.900810000000000e+03	2.231121e-03	2.478781e-05
2.000800000000000e+03	-1.740456e-05	-1.929967e-07
2.100790000000000e+03	-2.115250e-03	-2.350110e-05
2.200780000000000e+03	-4.076958e-03	-4.529908e-05
2.300770000000000e+03	-5.915403e-03	-6.572907e-05
2.400760000000000e+03	-7.642508e-03	-8.491593e-05
2.500750000000000e+03	-9.267330e-03	-1.029698e-04
2.600740000000000e+03	-1.079893e-02	-1.199881e-04
2.700730000000000e+03	-1.224518e-02	-1.360575e-04
2.800720000000000e+03	-1.361275e-02	-1.512552e-04
2.900710000000000e+03	-1.490855e-02	-1.656503e-04
3.000700000000000e+03	-1.613736e-02	-1.793046e-04
3.100690000000000e+03	-1.730466e-02	-1.922740e-04
3.200680000000000e+03	-1.841474e-02	-2.046087e-04
3.300670000000000e+03	-1.947188e-02	-2.163542e-04
3.400660000000000e+03	-2.047968e-02	-2.275517e-04
3.500650000000000e+03	-2.144146e-02	-2.382387e-04
3.600640000000000e+03	-2.236056e-02	-2.484494e-04
3.700630000000000e+03	-2.323937e-02	-2.582149e-04
3.800620000000000e+03	-2.408075e-02	-2.675636e-04
3.900610000000000e+03	-2.488708e-02	-2.765217e-04
4.000600000000000e+03	-2.566028e-02	-2.851132e-04
4.100590000000000e+03	-2.640224e-02	-2.933602e-04
4.200580000000000e+03	-2.711535e-02	-3.012829e-04
4.300570000000000e+03	-2.780104e-02	-3.089001e-04
4.400559999999999e+03	-2.846050e-02	-3.162292e-04
4.500550000000000e+03	-2.909589e-02	-3.232861e-04
4.600540000000000e+03	-2.970791e-02	-3.300858e-04
4.700530000000000e+03	-3.029776e-02	-3.366421e-04
4.800520000000000e+03	-3.086710e-02	-3.429679e-04
4.900509999999999e+03	-3.141665e-02	-3.490750e-04
5.000500000000000e+03	-3.194761e-02	-3.549746e-04
5.100490000000000e+03	-3.246093e-02	-3.606771e-04
5.200480000000000e+03	-3.295732e-02	-3.661923e-04
5.300469999999999e+03	-3.343773e-02	-3.715292e-04
5.400460000000000e+03	-3.390265e-02	-3.766963e-04
5.500450000000000e+03	-3.435302e-02	-3.817016e-04
5.600440000000000e+03	-3.478980e-02	-3.865525e-04
5.700429999999999e+03	-3.521323e-02	-3.912562e-04
5.800420000000000e+03	-3.562379e-02	-3.958192e-04
5.900410000000000e+03	-3.602242e-02	-4.002478e-04
6.000400000000000e+03	-3.640938e-02	-4.045477e-04
6.100389999999999e+03	-3.678536e-02	-4.087245e-04
6.200380000000000e+03	-3.715062e-02	-4.127835e-04
6.300370000000000e+03	-3.750587e-02	-4.167295e-04
6.400360000000000e+03	-3.785110e-02	-4.205672e-04
6.500349999999999e+03	-3.818727e-02	-4.243010e-04
6.600339999999999e+03	-3.851414e-02	-4.279351e-04
6.700330000000000e+03	-3.883243e-02	-4.314734e-04
6.800320000000000e+03	-3.914285e-02	-4.349196e-04
6.900309999999999e+03	-3.944492e-02	-4.382772e-04
7.000299999999999e+03	-3.973961e-02	-4.415498e-04
7.100290000000000e+03	-4.002643e-02	-4.447404e-04
7.200280000000000e+03	-4.030657e-02	-4.478521e-04
7.300270000000000e+03	-4.058003e-02	-4.508877e-04
7.400259999999999e+03	-4.084659e-02	-4.538501e-04
7.500250000000000e+03	-4.110670e-02	-4.567419e-04
7.600240000000000e+03	-4.136086e-02	-4.595655e-04
7.700230000000000e+03	-4.160905e-02	-4.623234e-04
