rx	V(n002)-V(n004)	I(VSense)
7.800219999999999e+03	-4.185152e-02	-4.650177e-04
7.900210000000000e+03	-4.208851e-02	-4.676508e-04
8.000200000000000e+03	-4.232025e-02	-4.702245e-04
8.100190000000000e+03	-4.254675e-02	-4.727410e-04
8.200180000000000e+03	-4.276824e-02	-4.752021e-04
8.300170000000000e+03	-4.298496e-02	-4.776097e-04
8.400160000000000e+03	-4.319692e-02	-4.799653e-04
8.500150000000000e+03	-4.340434e-02	-4.822708e-04
8.600139999999999e+03	-4.360747e-02	-4.845277e-04
8.700129999999999e+03	-4.380631e-02	-4.867375e-04
8.800119999999999e+03	-4.400134e-02	-4.889017e-04
8.900109999999999e+03	-4.419184e-02	-4.910216e-04
9.000100000000000e+03	-4.437876e-02	-4.930987e-04
9.100090000000000e+03	-4.456210e-02	-4.951342e-04
9.200080000000000e+03	-4.474163e-02	-4.971293e-04
9.300070000000000e+03	-4.491758e-02	-4.990852e-04
9.400059999999999e+03	-4.509044e-02	-5.010031e-04
9.500049999999999e+03	-4.525971e-02	-5.028842e-04
9.600039999999999e+03	-4.542565e-02	-5.047292e-04
9.700029999999999e+03	-4.558849e-02	-5.065395e-04
9.800019999999999e+03	-4.574847e-02	-5.083159e-04
9.900010000000000e+03	-4.590535e-02	-5.100593e-04
1.000000000000000e+04	-4.605937e-02	-5.117707e-04
