Freq.	V(ch2)/V(ch1)
1.98618499087409e+01	(-2.61505556702907e+01dB,8.85846474269342e+01°)
2.00000000000001e+01	(-2.60903866580099e+01dB,8.85748069175050e+01°)
2.01391110011345e+01	(-2.60302181617246e+01dB,8.85648980468975e+01°)
2.02791895958007e+01	(-2.59700501886290e+01dB,8.85549203414061e+01°)
2.04202425141440e+01	(-2.59098827460171e+01dB,8.85448733240679e+01°)
2.05622765331215e+01	(-2.58497158412847e+01dB,8.85347565146405e+01°)
2.07052984768277e+01	(-2.57895494819304e+01dB,8.85245694295804e+01°)
2.08493152168226e+01	(-2.57293836755574e+01dB,8.85143115820203e+01°)
2.09943336724615e+01	(-2.56692184298747e+01dB,8.85039824817475e+01°)
2.11403608112278e+01	(-2.56090537526984e+01dB,8.84935816351809e+01°)
2.12874036490674e+01	(-2.55488896519537e+01dB,8.84831085453488e+01°)
2.14354692507260e+01	(-2.54887261356761e+01dB,8.84725627118659e+01°)
2.15845647300887e+01	(-2.54285632120126e+01dB,8.84619436309107e+01°)
2.17346972505213e+01	(-2.53684008892241e+01dB,8.84512507952027e+01°)
2.18858740252150e+01	(-2.53082391756861e+01dB,8.84404836939786e+01°)
2.20381023175324e+01	(-2.52480780798910e+01dB,8.84296418129699e+01°)
2.21913894413571e+01	(-2.51879176104490e+01dB,8.84187246343789e+01°)
2.23457427614446e+01	(-2.51277577760905e+01dB,8.84077316368553e+01°)
2.25011696937764e+01	(-2.50675985856671e+01dB,8.83966622954728e+01°)
2.26576777059162e+01	(-2.50074400481539e+01dB,8.83855160817048e+01°)
2.28152743173687e+01	(-2.49472821726506e+01dB,8.83742924634007e+01°)
2.29739670999409e+01	(-2.48871249683837e+01dB,8.83629909047619e+01°)
2.31337636781060e+01	(-2.48269684447080e+01dB,8.83516108663174e+01°)
2.32946717293693e+01	(-2.47668126111084e+01dB,8.83401518048992e+01°)
2.34566989846378e+01	(-2.47066574772020e+01dB,8.83286131736181e+01°)
2.36198532285908e+01	(-2.46465030527393e+01dB,8.83169944218389e+01°)
2.37841423000546e+01	(-2.45863493476069e+01dB,8.83052949951552e+01°)
2.39495740923788e+01	(-2.45261963718286e+01dB,8.82935143353652e+01°)
2.41161565538154e+01	(-2.44660441355678e+01dB,8.82816518804456e+01°)
2.42838976879012e+01	(-2.44058926491292e+01dB,8.82697070645271e+01°)
2.44528055538416e+01	(-2.43457419229607e+01dB,8.82576793178685e+01°)
2.46228882668986e+01	(-2.42855919676559e+01dB,8.82455680668313e+01°)
2.47941539987800e+01	(-2.42254427939553e+01dB,8.82333727338539e+01°)
2.49666109780325e+01	(-2.41652944127490e+01dB,8.82210927374259e+01°)
2.51402674904368e+01	(-2.41051468350785e+01dB,8.82087274920616e+01°)
2.53151318794059e+01	(-2.40450000721389e+01dB,8.81962764082744e+01°)
2.54912125463855e+01	(-2.39848541352807e+01dB,8.81837388925500e+01°)
2.56685179512583e+01	(-2.39247090360125e+01dB,8.81711143473202e+01°)
2.58470566127501e+01	(-2.38645647860028e+01dB,8.81584021709361e+01°)
2.60268371088389e+01	(-2.38044213970823e+01dB,8.81456017576412e+01°)
2.62078680771675e+01	(-2.37442788812462e+01dB,8.81327124975448e+01°)
2.63901582154582e+01	(-2.36841372506565e+01dB,8.81197337765947e+01°)
2.65737162819305e+01	(-2.36239965176440e+01dB,8.81066649765497e+01°)
2.67585510957225e+01	(-2.35638566947112e+01dB,8.80935054749525e+01°)
2.69446715373141e+01	(-2.35037177945341e+01dB,8.80802546451022e+01°)
2.71320865489537e+01	(-2.34435798299651e+01dB,8.80669118560263e+01°)
2.73208051350882e+01	(-2.33834428140350e+01dB,8.80534764724529e+01°)
2.75108363627952e+01	(-2.33233067599557e+01dB,8.80399478547828e+01°)
2.77021893622188e+01	(-2.32631716811229e+01dB,8.80263253590612e+01°)
2.78948733270084e+01	(-2.32030375911180e+01dB,8.80126083369493e+01°)
2.80888975147603e+01	(-2.31429045037115e+01dB,8.79987961356961e+01°)
2.82842712474622e+01	(-2.30827724328650e+01dB,8.79848880981092e+01°)
2.84810039119418e+01	(-2.30226413927340e+01dB,8.79708835625265e+01°)
2.86791049603169e+01	(-2.29625113976706e+01dB,8.79567818627870e+01°)
2.88785839104503e+01	(-2.29023824622265e+01dB,8.79425823282017e+01°)
2.90794503464065e+01	(-2.28422546011551e+01dB,8.79282842835243e+01°)
2.92817139189128e+01	(-2.27821278294151e+01dB,8.79138870489217e+01°)
2.94853843458224e+01	(-2.27220021621725e+01dB,8.78993899399444e+01°)
2.96904714125813e+01	(-2.26618776148042e+01dB,8.78847922674971e+01°)
2.98969849726991e+01	(-2.26017542029004e+01dB,8.78700933378082e+01°)
3.01049349482217e+01	(-2.25416319422679e+01dB,8.78552924524000e+01°)
3.03143313302083e+01	(-2.24815108489327e+01dB,8.78403889080585e+01°)
3.05251841792116e+01	(-2.24213909391434e+01dB,8.78253819968032e+01°)
3.07375036257606e+01	(-2.23612722293743e+01dB,8.78102710058559e+01°)
3.09512998708482e+01	(-2.23011547363279e+01dB,8.77950552176107e+01°)
3.11665831864204e+01	(-2.22410384769388e+01dB,8.77797339096027e+01°)
3.13833639158704e+01	(-2.21809234683766e+01dB,8.77643063544772e+01°)
3.16016524745355e+01	(-2.21208097280490e+01dB,8.77487718199584e+01°)
3.18214593501971e+01	(-2.20606972736052e+01dB,8.77331295688179e+01°)
3.20427951035853e+01	(-2.20005861229394e+01dB,8.77173788588437e+01°)
3.22656703688855e+01	(-2.19404762941939e+01dB,8.77015189428079e+01°)
3.24900958542498e+01	(-2.18803678057625e+01dB,8.76855490684353e+01°)
3.27160823423117e+01	(-2.18202606762945e+01dB,8.76694684783714e+01°)
3.29436406907033e+01	(-2.17601549246974e+01dB,8.76532764101502e+01°)
3.31727818325781e+01	(-2.17000505701412e+01dB,8.76369720961616e+01°)
3.34035167771352e+01	(-2.16399476320614e+01dB,8.76205547636197e+01°)
3.36358566101490e+01	(-2.15798461301633e+01dB,8.76040236345295e+01°)
3.38698124945015e+01	(-2.15197460844249e+01dB,8.75873779256543e+01°)
3.41053956707187e+01	(-2.14596475151017e+01dB,8.75706168484831e+01°)
3.43426174575106e+01	(-2.13995504427294e+01dB,8.75537396091972e+01°)
3.45814892523151e+01	(-2.13394548881285e+01dB,8.75367454086370e+01°)
3.48220225318454e+01	(-2.12793608724082e+01dB,8.75196334422689e+01°)
3.50642288526419e+01	(-2.12192684169699e+01dB,8.75024029001515e+01°)
3.53081198516267e+01	(-2.11591775435116e+01dB,8.74850529669018e+01°)
3.55537072466633e+01	(-2.10990882740319e+01dB,8.74675828216618e+01°)
3.58010028371194e+01	(-2.10390006308340e+01dB,8.74499916380641e+01°)
3.60500185044337e+01	(-2.09789146365302e+01dB,8.74322785841981e+01°)
3.63007662126869e+01	(-2.09188303140457e+01dB,8.74144428225752e+01°)
3.65532580091765e+01	(-2.08587476866233e+01dB,8.73964835100951e+01°)
3.68075060249955e+01	(-2.07986667778275e+01dB,8.73783997980104e+01°)
3.70635224756154e+01	(-2.07385876115490e+01dB,8.73601908318925e+01°)
3.73213196614728e+01	(-2.06785102120093e+01dB,8.73418557515963e+01°)
3.75809099685610e+01	(-2.06184346037651e+01dB,8.73233936912254e+01°)
3.78423058690244e+01	(-2.05583608117128e+01dB,8.73048037790969e+01°)
3.81055199217580e+01	(-2.04982888610934e+01dB,8.72860851377059e+01°)
3.83705647730111e+01	(-2.04382187774971e+01dB,8.72672368836902e+01°)
3.86374531569944e+01	(-2.03781505868681e+01dB,8.72482581277946e+01°)
3.89061978964920e+01	(-2.03180843155094e+01dB,8.72291479748354e+01°)
3.91768119034776e+01	(-2.02580199900877e+01dB,8.72099055236639e+01°)
3.94493081797350e+01	(-2.01979576376387e+01dB,8.71905298671310e+01°)
3.97236998174820e+01	(-2.01378972855716e+01dB,8.71710200920509e+01°)
4.00000000000006e+01	(-2.00778389616747e+01dB,8.71513752791645e+01°)
4.02782220022694e+01	(-2.00177826941204e+01dB,8.71315945031031e+01°)
4.05583791916018e+01	(-1.99577285114703e+01dB,8.71116768323520e+01°)
4.08404850282883e+01	(-1.98976764426808e+01dB,8.70916213292136e+01°)
4.11245530662433e+01	(-1.98376265171084e+01dB,8.70714270497706e+01°)
4.14105969536557e+01	(-1.97775787645150e+01dB,8.70510930438492e+01°)
4.16986304336455e+01	(-1.97175332150738e+01dB,8.70306183549817e+01°)
4.19886673449233e+01	(-1.96574898993746e+01dB,8.70100020203695e+01°)
4.22807216224559e+01	(-1.95974488484295e+01dB,8.69892430708457e+01°)
4.25748072981351e+01	(-1.95374100936789e+01dB,8.69683405308377e+01°)
4.28709385014524e+01	(-1.94773736669971e+01dB,8.69472934183295e+01°)
4.31691294601778e+01	(-1.94173396006986e+01dB,8.69261007448241e+01°)
4.34693945010430e+01	(-1.93573079275433e+01dB,8.69047615153056e+01°)
4.37717480504303e+01	(-1.92972786807437e+01dB,8.68832747282013e+01°)
4.40762046350651e+01	(-1.92372518939700e+01dB,8.68616393753439e+01°)
4.43827788827145e+01	(-1.91772276013572e+01dB,8.68398544419329e+01°)
4.46914855228895e+01	(-1.91172058375108e+01dB,8.68179189064966e+01°)
4.50023393875531e+01	(-1.90571866375134e+01dB,8.67958317408538e+01°)
4.53153554118327e+01	(-1.89971700369316e+01dB,8.67735919100753e+01°)
4.56305486347377e+01	(-1.89371560718218e+01dB,8.67511983724453e+01°)
4.59479341998822e+01	(-1.88771447787376e+01dB,8.67286500794226e+01°)
4.62675273562123e+01	(-1.88171361947360e+01dB,8.67059459756023e+01°)
4.65893434587390e+01	(-1.87571303573849e+01dB,8.66830849986763e+01°)
4.69133979692759e+01	(-1.86971273047692e+01dB,8.66600660793953e+01°)
4.72397064571820e+01	(-1.86371270754986e+01dB,8.66368881415287e+01°)
4.75682846001096e+01	(-1.85771297087141e+01dB,8.66135501018264e+01°)
4.78991481847580e+01	(-1.85171352440958e+01dB,8.65900508699793e+01°)
4.82323131076312e+01	(-1.84571437218697e+01dB,8.65663893485799e+01°)
4.85677953758027e+01	(-1.83971551828154e+01dB,8.65425644330834e+01°)
4.89056111076836e+01	(-1.83371696682735e+01dB,8.65185750117680e+01°)
4.92457765337975e+01	(-1.82771872201532e+01dB,8.64944199656954e+01°)
4.95883079975603e+01	(-1.82172078809401e+01dB,8.64700981686718e+01°)
4.99332219560653e+01	(-1.81572316937039e+01dB,8.64456084872077e+01°)
5.02805349808740e+01	(-1.80972587021063e+01dB,8.64209497804788e+01°)
5.06302637588121e+01	(-1.80372889504091e+01dB,8.63961209002862e+01°)
5.09824250927714e+01	(-1.79773224834822e+01dB,8.63711206910166e+01°)
5.13370359025171e+01	(-1.79173593468118e+01dB,8.63459479896026e+01°)
5.16941132255006e+01	(-1.78573995865090e+01dB,8.63206016254832e+01°)
5.20536742176783e+01	(-1.77974432493179e+01dB,8.62950804205637e+01°)
5.24157361543355e+01	(-1.77374903826244e+01dB,8.62693831891758e+01°)
5.27803164309167e+01	(-1.76775410344644e+01dB,8.62435087380382e+01°)
5.31474325638614e+01	(-1.76175952535333e+01dB,8.62174558662166e+01°)
5.35171021914454e+01	(-1.75576530891943e+01dB,8.61912233650833e+01°)
5.38893430746286e+01	(-1.74977145914875e+01dB,8.61648100182783e+01°)
5.42641730979079e+01	(-1.74377798111394e+01dB,8.61382146016686e+01°)
5.46416102701768e+01	(-1.73778487995714e+01dB,8.61114358833088e+01°)
5.50216727255908e+01	(-1.73179216089099e+01dB,8.60844726234011e+01°)
5.54043787244380e+01	(-1.72579982919953e+01dB,8.60573235742555e+01°)
5.57897466540173e+01	(-1.71980789023918e+01dB,8.60299874802501e+01°)
5.61777950295209e+01	(-1.71381634943971e+01dB,8.60024630777913e+01°)
5.65685424949249e+01	(-1.70782521230520e+01dB,8.59747490952738e+01°)
5.69620078238839e+01	(-1.70183448441507e+01dB,8.59468442530413e+01°)
5.73582099206342e+01	(-1.69584417142509e+01dB,8.59187472633468e+01°)
5.77571678209009e+01	(-1.68985427906836e+01dB,8.58904568303128e+01°)
5.81589006928135e+01	(-1.68386481315641e+01dB,8.58619716498919e+01°)
5.85634278378261e+01	(-1.67787577958016e+01dB,8.58332904098275e+01°)
5.89707686916452e+01	(-1.67188718431110e+01dB,8.58044117896143e+01°)
5.93809428251631e+01	(-1.66589903340225e+01dB,8.57753344604590e+01°)
5.97939699453987e+01	(-1.65991133298933e+01dB,8.57460570852414e+01°)
6.02098698964439e+01	(-1.65392408929182e+01dB,8.57165783184748e+01°)
6.06286626604171e+01	(-1.64793730861409e+01dB,8.56868968062675e+01°)
6.10503683584236e+01	(-1.64195099734655e+01dB,8.56570111862838e+01°)
6.14750072515217e+01	(-1.63596516196677e+01dB,8.56269200877054e+01°)
6.19025997416968e+01	(-1.62997980904063e+01dB,8.55966221311923e+01°)
6.23331663728412e+01	(-1.62399494522354e+01dB,8.55661159288453e+01°)
6.27667278317413e+01	(-1.61801057726159e+01dB,8.55354000841667e+01°)
6.32033049490714e+01	(-1.61202671199278e+01dB,8.55044731920230e+01°)
6.36429187003948e+01	(-1.60604335634822e+01dB,8.54733338386064e+01°)
6.40855902071711e+01	(-1.60006051735336e+01dB,8.54419806013974e+01°)
6.45313407377714e+01	(-1.59407820212929e+01dB,8.54104120491270e+01°)
6.49801917085002e+01	(-1.58809641789392e+01dB,8.53786267417393e+01°)
6.54321646846238e+01	(-1.58211517196337e+01dB,8.53466232303548e+01°)
6.58872813814072e+01	(-1.57613447175315e+01dB,8.53144000572329e+01°)
6.63455636651567e+01	(-1.57015432477959e+01dB,8.52819557557354e+01°)
6.68070335542709e+01	(-1.56417473866107e+01dB,8.52492888502903e+01°)
6.72717132202986e+01	(-1.55819572111944e+01dB,8.52163978563553e+01°)
6.77396249890036e+01	(-1.55221727998134e+01dB,8.51832812803820e+01°)
6.82107913414380e+01	(-1.54623942317959e+01dB,8.51499376197803e+01°)
6.86852349150217e+01	(-1.54026215875461e+01dB,8.51163653628831e+01°)
6.91629785046307e+01	(-1.53428549485582e+01dB,8.50825629889111e+01°)
6.96440450636914e+01	(-1.52830943974304e+01dB,8.50485289679383e+01°)
7.01284577052843e+01	(-1.52233400178799e+01dB,8.50142617608574e+01°)
7.06162397032539e+01	(-1.51635918947573e+01dB,8.49797598193460e+01°)
7.11074144933271e+01	(-1.51038501140616e+01dB,8.49450215858327e+01°)
7.16020056742393e+01	(-1.50441147629549e+01dB,8.49100454934640e+01°)
7.21000370088680e+01	(-1.49843859297781e+01dB,8.48748299660714e+01°)
7.26015324253744e+01	(-1.49246637040660e+01dB,8.48393734181387e+01°)
7.31065160183536e+01	(-1.48649481765627e+01dB,8.48036742547701e+01°)
7.36150120499916e+01	(-1.48052394392379e+01dB,8.47677308716583e+01°)
7.41270449512313e+01	(-1.47455375853023e+01dB,8.47315416550538e+01°)
7.46426393229462e+01	(-1.46858427092243e+01dB,8.46951049817336e+01°)
7.51618199371226e+01	(-1.46261549067458e+01dB,8.46584192189713e+01°)
7.56846117380493e+01	(-1.45664742748991e+01dB,8.46214827245071e+01°)
7.62110398435167e+01	(-1.45068009120235e+01dB,8.45842938465190e+01°)
7.67411295460228e+01	(-1.44471349177824e+01dB,8.45468509235934e+01°)
7.72749063139893e+01	(-1.43874763931801e+01dB,8.45091522846977e+01°)
7.78123957929846e+01	(-1.43278254405797e+01dB,8.44711962491520e+01°)
7.83536238069559e+01	(-1.42681821637198e+01dB,8.44329811266028e+01°)
7.88986163594705e+01	(-1.42085466677332e+01dB,8.43945052169960e+01°)
7.94473996349647e+01	(-1.41489190591643e+01dB,8.43557668105514e+01°)
8.00000000000018e+01	(-1.40892994459871e+01dB,8.43167641877377e+01°)
8.05564440045393e+01	(-1.40296879376243e+01dB,8.42774956192477e+01°)
8.11167583832042e+01	(-1.39700846449652e+01dB,8.42379593659749e+01°)
8.16809700565773e+01	(-1.39104896803847e+01dB,8.41981536789901e+01°)
8.22491061324872e+01	(-1.38509031577625e+01dB,8.41580767995192e+01°)
8.28211939073121e+01	(-1.37913251925024e+01dB,8.41177269589217e+01°)
8.33972608672916e+01	(-1.37317559015513e+01dB,8.40771023786697e+01°)
8.39773346898473e+01	(-1.36721954034195e+01dB,8.40362012703280e+01°)
8.45614432449124e+01	(-1.36126438182001e+01dB,8.39950218355348e+01°)
8.51496145962708e+01	(-1.35531012675894e+01dB,8.39535622659835e+01°)
8.57418770029054e+01	(-1.34935678749073e+01dB,8.39118207434046e+01°)
8.63382589203562e+01	(-1.34340437651178e+01dB,8.38697954395501e+01°)
8.69387890020867e+01	(-1.33745290648498e+01dB,8.38274845161769e+01°)
8.75434961008612e+01	(-1.33150239024184e+01dB,8.37848861250322e+01°)
8.81524092701309e+01	(-1.32555284078458e+01dB,8.37419984078402e+01°)
8.87655577654297e+01	(-1.31960427128833e+01dB,8.36988194962886e+01°)
8.93829710457797e+01	(-1.31365669510326e+01dB,8.36553475120173e+01°)
9.00046787751069e+01	(-1.30771012575683e+01dB,8.36115805666073e+01°)
9.06307108236660e+01	(-1.30176457695597e+01dB,8.35675167615713e+01°)
9.12610972694761e+01	(-1.29582006258936e+01dB,8.35231541883447e+01°)
9.18958683997650e+01	(-1.28987659672971e+01dB,8.34784909282789e+01°)
9.25350547124252e+01	(-1.28393419363604e+01dB,8.34335250526340e+01°)
9.31786869174787e+01	(-1.27799286775599e+01dB,8.33882546225746e+01°)
9.38267959385526e+01	(-1.27205263372822e+01dB,8.33426776891653e+01°)
9.44794129143647e+01	(-1.26611350638475e+01dB,8.32967922933683e+01°)
9.51365692002200e+01	(-1.26017550075334e+01dB,8.32505964660420e+01°)
9.57982963695166e+01	(-1.25423863205996e+01dB,8.32040882279412e+01°)
9.64646262152632e+01	(-1.24830291573123e+01dB,8.31572655897179e+01°)
9.71355907516061e+01	(-1.24236836739688e+01dB,8.31101265519244e+01°)
9.78112222153679e+01	(-1.23643500289225e+01dB,8.30626691050170e+01°)
9.84915530675957e+01	(-1.23050283826083e+01dB,8.30148912293622e+01°)
9.91766159951214e+01	(-1.22457188975685e+01dB,8.29667908952429e+01°)
9.98664439121315e+01	(-1.21864217384777e+01dB,8.29183660628677e+01°)
1.00561069961749e+02	(-1.21271370721699e+01dB,8.28696146823803e+01°)
1.01260527517625e+02	(-1.20678650676641e+01dB,8.28205346938719e+01°)
1.01964850185544e+02	(-1.20086058961913e+01dB,8.27711240273938e+01°)
1.02674071805035e+02	(-1.19493597312213e+01dB,8.27213806029731e+01°)
1.03388226451002e+02	(-1.18901267484897e+01dB,8.26713023306289e+01°)
1.04107348435357e+02	(-1.18309071260255e+01dB,8.26208871103908e+01°)
1.04831472308672e+02	(-1.17717010441786e+01dB,8.25701328323193e+01°)
1.05560632861834e+02	(-1.17125086856479e+01dB,8.25190373765278e+01°)
1.06294865127724e+02	(-1.16533302355097e+01dB,8.24675986132066e+01°)
1.07034204382892e+02	(-1.15941658812456e+01dB,8.24158144026485e+01°)
1.07778686149258e+02	(-1.15350158127721e+01dB,8.23636825952767e+01°)
1.08528346195817e+02	(-1.14758802224689e+01dB,8.23112010316748e+01°)
1.09283220540354e+02	(-1.14167593052086e+01dB,8.22583675426185e+01°)
1.10043345451182e+02	(-1.13576532583865e+01dB,8.22051799491092e+01°)
1.10808757448877e+02	(-1.12985622819498e+01dB,8.21516360624105e+01°)
1.11579493308035e+02	(-1.12394865784287e+01dB,8.20977336840865e+01°)
1.12355590059043e+02	(-1.11804263529658e+01dB,8.20434706060418e+01°)
1.13137084989851e+02	(-1.11213818133477e+01dB,8.19888446105643e+01°)
1.13924015647769e+02	(-1.10623531700355e+01dB,8.19338534703709e+01°)
1.14716419841269e+02	(-1.10033406361962e+01dB,8.18784949486541e+01°)
1.15514335641803e+02	(-1.09443444277340e+01dB,8.18227667991324e+01°)
1.16317801385628e+02	(-1.08853647633227e+01dB,8.17666667661023e+01°)
1.17126855675653e+02	(-1.08264018644371e+01dB,8.17101925844936e+01°)
1.17941537383291e+02	(-1.07674559553860e+01dB,8.16533419799262e+01°)
