time	V(in)	V(out)
3.285682991071495e-02	4.659927e+00	1.545150e+00
3.325582544642924e-02	4.685718e+00	1.807165e+00
3.365482098214352e-02	4.709759e+00	2.051405e+00
3.405381651785780e-02	4.732051e+00	2.277867e+00
3.445281205357208e-02	4.752592e+00	2.486554e+00
3.485180758928637e-02	4.771384e+00	2.677463e+00
3.525080312500065e-02	4.788426e+00	2.850597e+00
3.571118258928636e-02	4.806537e+00	3.034590e+00
3.617156205357207e-02	4.823361e+00	3.205497e+00
3.663194151785779e-02	4.838895e+00	3.363319e+00
3.709232098214350e-02	4.853142e+00	3.508055e+00
3.755270044642921e-02	4.866101e+00	3.639705e+00
3.801307991071493e-02	4.877772e+00	3.758270e+00
3.847345937500064e-02	4.888155e+00	3.863749e+00
3.893383883928635e-02	4.897729e+00	3.961014e+00
3.939421830357206e-02	4.906622e+00	4.051362e+00
3.985459776785777e-02	4.914835e+00	4.134792e+00
4.031497723214349e-02	4.922366e+00	4.211305e+00
4.077535669642920e-02	4.929216e+00	4.280900e+00
4.123573616071491e-02	4.935386e+00	4.343577e+00
4.169611562500062e-02	4.940875e+00	4.399337e+00
4.215649508928633e-02	4.945936e+00	4.450755e+00
4.261687455357204e-02	4.950637e+00	4.498516e+00
4.307725401785775e-02	4.954978e+00	4.542620e+00
4.353763348214347e-02	4.958960e+00	4.583068e+00
4.399801294642918e-02	4.962581e+00	4.619858e+00
4.445839241071489e-02	4.965843e+00	4.652992e+00
4.491877187500060e-02	4.968744e+00	4.682468e+00
4.537915133928631e-02	4.971420e+00	4.709650e+00
4.583953080357202e-02	4.973905e+00	4.734898e+00
4.629991026785774e-02	4.976200e+00	4.758213e+00
4.676028973214345e-02	4.978305e+00	4.779595e+00
4.722066919642916e-02	4.980219e+00	4.799043e+00
4.768104866071488e-02	4.981943e+00	4.816559e+00
4.814142812500059e-02	4.983477e+00	4.832141e+00
4.860180758928630e-02	4.984892e+00	4.846510e+00
4.906218705357201e-02	4.986205e+00	4.859858e+00
4.952256651785772e-02	4.987419e+00	4.872183e+00
4.998294598214344e-02	4.988531e+00	4.883486e+00
5.044332544642915e-02	4.989543e+00	4.893767e+00
5.090370491071486e-02	4.990455e+00	4.903027e+00
5.136408437500057e-02	4.991265e+00	4.911264e+00
5.182446383928628e-02	4.992013e+00	4.918860e+00
5.228484330357199e-02	4.992708e+00	4.925916e+00
5.274522276785770e-02	4.993349e+00	4.932431e+00
5.320560223214342e-02	4.993937e+00	4.938406e+00
5.366598169642913e-02	4.994472e+00	4.943842e+00
5.412636116071484e-02	4.994954e+00	4.948736e+00
5.458674062500055e-02	4.995383e+00	4.953091e+00
5.499900000000000e-02	4.995744e+00	4.956764e+00
5.500000000000000e-02	-4.020018e+00	4.955774e+00
5.530912366071438e-02	-4.077679e+00	4.369986e+00
5.561824732142877e-02	-4.132369e+00	3.814383e+00
5.592737098214315e-02	-4.184088e+00	3.288966e+00
5.623649464285753e-02	-4.232835e+00	2.793733e+00
5.654561830357191e-02	-4.278611e+00	2.328686e+00
5.685474196428630e-02	-4.321416e+00	1.893824e+00
5.716386562500068e-02	-4.361250e+00	1.489147e+00
5.748613125000068e-02	-4.400697e+00	1.088401e+00
5.770097500000067e-02	-4.425632e+00	8.350825e-01
5.791581875000067e-02	-4.449530e+00	5.923039e-01
5.802324062500067e-02	-4.461103e+00	4.747292e-01
5.813066250000067e-02	-4.472433e+00	3.596265e-01
5.823808437500067e-02	-4.483525e+00	2.469437e-01
5.834550625000067e-02	-4.494383e+00	1.366300e-01
5.845292812500067e-02	-4.505013e+00	2.863560e-02
5.856035000000067e-02	-4.515420e+00	-7.708830e-02
5.866777187500067e-02	-4.525608e+00	-1.805894e-01
5.877519375000067e-02	-4.535582e+00	-2.819145e-01
5.888261562500067e-02	-4.545346e+00	-3.811093e-01
