Freq.	V(vout)/V(vin)
1.05848439487514e+01	(-4.36564198760122e+01dB,8.82085854295134e+01°)
1.05921833468389e+01	(-4.36504051638028e+01dB,8.82073440953134e+01°)
1.05995278339729e+01	(-4.36443904597531e+01dB,8.82061019020730e+01°)
1.06068774136823e+01	(-4.36383757638745e+01dB,8.82048588492001e+01°)
1.06142320894980e+01	(-4.36323610761782e+01dB,8.82036149361021e+01°)
1.06215918649538e+01	(-4.36263463966756e+01dB,8.82023701621861e+01°)
1.06289567435856e+01	(-4.36203317253780e+01dB,8.82011245268587e+01°)
1.06363267289319e+01	(-4.36143170622969e+01dB,8.81998780295262e+01°)
1.06437018245337e+01	(-4.36083024074435e+01dB,8.81986306695944e+01°)
1.06510820339343e+01	(-4.36022877608293e+01dB,8.81973824464688e+01°)
1.06584673606795e+01	(-4.35962731224656e+01dB,8.81961333595543e+01°)
1.06658578083178e+01	(-4.35902584923640e+01dB,8.81948834082556e+01°)
1.06732533803997e+01	(-4.35842438705357e+01dB,8.81936325919770e+01°)
1.06806540804786e+01	(-4.35782292569924e+01dB,8.81923809101221e+01°)
1.06880599121102e+01	(-4.35722146517454e+01dB,8.81911283620945e+01°)
1.06954708788526e+01	(-4.35662000548063e+01dB,8.81898749472970e+01°)
1.07028869842664e+01	(-4.35601854661865e+01dB,8.81886206651324e+01°)
1.07103082319147e+01	(-4.35541708858975e+01dB,8.81873655150028e+01°)
1.07177346253630e+01	(-4.35481563139510e+01dB,8.81861094963100e+01°)
1.07251661681795e+01	(-4.35421417503584e+01dB,8.81848526084553e+01°)
1.07326028639347e+01	(-4.35361271951314e+01dB,8.81835948508397e+01°)
1.07400447162014e+01	(-4.35301126482814e+01dB,8.81823362228637e+01°)
1.07474917285551e+01	(-4.35240981098201e+01dB,8.81810767239276e+01°)
1.07549439045739e+01	(-4.35180835797591e+01dB,8.81798163534311e+01°)
1.07624012478381e+01	(-4.35120690581101e+01dB,8.81785551107733e+01°)
1.07698637619306e+01	(-4.35060545448846e+01dB,8.81772929953534e+01°)
1.07773314504368e+01	(-4.35000400400944e+01dB,8.81760300065699e+01°)
1.07848043169446e+01	(-4.34940255437511e+01dB,8.81747661438207e+01°)
1.07922823650444e+01	(-4.34880110558664e+01dB,8.81735014065036e+01°)
1.07997655983290e+01	(-4.34819965764521e+01dB,8.81722357940160e+01°)
1.08072540203936e+01	(-4.34759821055198e+01dB,8.81709693057546e+01°)
1.08147476348363e+01	(-4.34699676430813e+01dB,8.81697019411159e+01°)
1.08222464452573e+01	(-4.34639531891483e+01dB,8.81684336994960e+01°)
1.08297504552594e+01	(-4.34579387437327e+01dB,8.81671645802905e+01°)
1.08372596684479e+01	(-4.34519243068462e+01dB,8.81658945828947e+01°)
1.08447740884308e+01	(-4.34459098785007e+01dB,8.81646237067033e+01°)
1.08522937188182e+01	(-4.34398954587079e+01dB,8.81633519511109e+01°)
1.08598185632231e+01	(-4.34338810474797e+01dB,8.81620793155112e+01°)
1.08673486252607e+01	(-4.34278666448279e+01dB,8.81608057992980e+01°)
1.08748839085490e+01	(-4.34218522507645e+01dB,8.81595314018645e+01°)
1.08824244167082e+01	(-4.34158378653012e+01dB,8.81582561226033e+01°)
1.08899701533612e+01	(-4.34098234884501e+01dB,8.81569799609068e+01°)
1.08975211221334e+01	(-4.34038091202231e+01dB,8.81557029161670e+01°)
1.09050773266527e+01	(-4.33977947606320e+01dB,8.81544249877753e+01°)
1.09126387705495e+01	(-4.33917804096888e+01dB,8.81531461751229e+01°)
1.09202054574567e+01	(-4.33857660674056e+01dB,8.81518664776004e+01°)
1.09277773910097e+01	(-4.33797517337943e+01dB,8.81505858945982e+01°)
1.09353545748465e+01	(-4.33737374088669e+01dB,8.81493044255060e+01°)
1.09429370126075e+01	(-4.33677230926353e+01dB,8.81480220697133e+01°)
1.09505247079359e+01	(-4.33617087851118e+01dB,8.81467388266092e+01°)
1.09581176644771e+01	(-4.33556944863083e+01dB,8.81454546955823e+01°)
1.09657158858791e+01	(-4.33496801962368e+01dB,8.81441696760207e+01°)
1.09733193757926e+01	(-4.33436659149096e+01dB,8.81428837673122e+01°)
1.09809281378707e+01	(-4.33376516423386e+01dB,8.81415969688442e+01°)
1.09885421757690e+01	(-4.33316373785360e+01dB,8.81403092800037e+01°)
1.09961614931457e+01	(-4.33256231235140e+01dB,8.81390207001771e+01°)
1.10037860936615e+01	(-4.33196088772847e+01dB,8.81377312287506e+01°)
1.10114159809798e+01	(-4.33135946398602e+01dB,8.81364408651099e+01°)
1.10190511587663e+01	(-4.33075804112528e+01dB,8.81351496086403e+01°)
1.10266916306893e+01	(-4.33015661914747e+01dB,8.81338574587266e+01°)
1.10343374004198e+01	(-4.32955519805380e+01dB,8.81325644147532e+01°)
1.10419884716311e+01	(-4.32895377784551e+01dB,8.81312704761042e+01°)
1.10496448479993e+01	(-4.32835235852382e+01dB,8.81299756421632e+01°)
1.10573065332029e+01	(-4.32775094008995e+01dB,8.81286799123133e+01°)
1.10649735309229e+01	(-4.32714952254513e+01dB,8.81273832859373e+01°)
1.10726458448430e+01	(-4.32654810589060e+01dB,8.81260857624177e+01°)
1.10803234786494e+01	(-4.32594669012759e+01dB,8.81247873411362e+01°)
1.10880064360309e+01	(-4.32534527525733e+01dB,8.81234880214744e+01°)
1.10956947206786e+01	(-4.32474386128106e+01dB,8.81221878028134e+01°)
1.11033883362866e+01	(-4.32414244820001e+01dB,8.81208866845339e+01°)
1.11110872865511e+01	(-4.32354103601543e+01dB,8.81195846660160e+01°)
1.11187915751713e+01	(-4.32293962472855e+01dB,8.81182817466396e+01°)
1.11265012058485e+01	(-4.32233821434062e+01dB,8.81169779257841e+01°)
1.11342161822870e+01	(-4.32173680485289e+01dB,8.81156732028286e+01°)
1.11419365081935e+01	(-4.32113539626659e+01dB,8.81143675771514e+01°)
1.11496621872772e+01	(-4.32053398858297e+01dB,8.81130610481308e+01°)
1.11573932232498e+01	(-4.31993258180330e+01dB,8.81117536151445e+01°)
1.11651296198259e+01	(-4.31933117592881e+01dB,8.81104452775698e+01°)
1.11728713807224e+01	(-4.31872977096076e+01dB,8.81091360347835e+01°)
1.11806185096588e+01	(-4.31812836690040e+01dB,8.81078258861620e+01°)
1.11883710103573e+01	(-4.31752696374900e+01dB,8.81065148310815e+01°)
1.11961288865426e+01	(-4.31692556150781e+01dB,8.81052028689173e+01°)
1.12038921419420e+01	(-4.31632416017808e+01dB,8.81038899990449e+01°)
1.12116607802853e+01	(-4.31572275976109e+01dB,8.81025762208388e+01°)
1.12194348053050e+01	(-4.31512136025809e+01dB,8.81012615336734e+01°)
1.12272142207363e+01	(-4.31451996167035e+01dB,8.80999459369226e+01°)
1.12349990303167e+01	(-4.31391856399914e+01dB,8.80986294299599e+01°)
1.12427892377864e+01	(-4.31331716724572e+01dB,8.80973120121582e+01°)
1.12505848468883e+01	(-4.31271577141137e+01dB,8.80959936828903e+01°)
1.12583858613678e+01	(-4.31211437649735e+01dB,8.80946744415283e+01°)
1.12661922849730e+01	(-4.31151298250495e+01dB,8.80933542874439e+01°)
1.12740041214544e+01	(-4.31091158943544e+01dB,8.80920332200085e+01°)
1.12818213745653e+01	(-4.31031019729009e+01dB,8.80907112385931e+01°)
1.12896440480615e+01	(-4.30970880607018e+01dB,8.80893883425680e+01°)
1.12974721457014e+01	(-4.30910741577700e+01dB,8.80880645313033e+01°)
1.13053056712461e+01	(-4.30850602641182e+01dB,8.80867398041688e+01°)
1.13131446284592e+01	(-4.30790463797594e+01dB,8.80854141605334e+01°)
1.13209890211070e+01	(-4.30730325047064e+01dB,8.80840875997661e+01°)
1.13288388529582e+01	(-4.30670186389720e+01dB,8.80827601212352e+01°)
1.13366941277844e+01	(-4.30610047825692e+01dB,8.80814317243085e+01°)
1.13445548493598e+01	(-4.30549909355109e+01dB,8.80801024083536e+01°)
1.13524210214609e+01	(-4.30489770978100e+01dB,8.80787721727375e+01°)
1.13602926478671e+01	(-4.30429632694795e+01dB,8.80774410168268e+01°)
1.13681697323604e+01	(-4.30369494505323e+01dB,8.80761089399877e+01°)
1.13760522787253e+01	(-4.30309356409814e+01dB,8.80747759415861e+01°)
1.13839402907490e+01	(-4.30249218408399e+01dB,8.80734420209871e+01°)
1.13918337722214e+01	(-4.30189080501207e+01dB,8.80721071775557e+01°)
1.13997327269348e+01	(-4.30128942688369e+01dB,8.80707714106563e+01°)
1.14076371586845e+01	(-4.30068804970015e+01dB,8.80694347196531e+01°)
1.14155470712680e+01	(-4.30008667346277e+01dB,8.80680971039096e+01°)
1.14234624684857e+01	(-4.29948529817285e+01dB,8.80667585627890e+01°)
1.14313833541406e+01	(-4.29888392383171e+01dB,8.80654190956540e+01°)
1.14393097320383e+01	(-4.29828255044065e+01dB,8.80640787018669e+01°)
1.14472416059871e+01	(-4.29768117800100e+01dB,8.80627373807896e+01°)
1.14551789797978e+01	(-4.29707980651406e+01dB,8.80613951317835e+01°)
1.14631218572840e+01	(-4.29647843598117e+01dB,8.80600519542096e+01°)
1.14710702422619e+01	(-4.29587706640363e+01dB,8.80587078474286e+01°)
1.14790241385503e+01	(-4.29527569778277e+01dB,8.80573628108005e+01°)
1.14869835499706e+01	(-4.29467433011992e+01dB,8.80560168436851e+01°)
1.14949484803470e+01	(-4.29407296341639e+01dB,8.80546699454416e+01°)
1.15029189335063e+01	(-4.29347159767353e+01dB,8.80533221154288e+01°)
1.15108949132779e+01	(-4.29287023289265e+01dB,8.80519733530052e+01°)
1.15188764234938e+01	(-4.29226886907510e+01dB,8.80506236575287e+01°)
1.15268634679889e+01	(-4.29166750622219e+01dB,8.80492730283568e+01°)
1.15348560506005e+01	(-4.29106614433528e+01dB,8.80479214648467e+01°)
1.15428541751686e+01	(-4.29046478341569e+01dB,8.80465689663549e+01°)
1.15508578455361e+01	(-4.28986342346476e+01dB,8.80452155322378e+01°)
1.15588670655483e+01	(-4.28926206448383e+01dB,8.80438611618510e+01°)
1.15668818390531e+01	(-4.28866070647426e+01dB,8.80425058545499e+01°)
1.15749021699015e+01	(-4.28805934943737e+01dB,8.80411496096895e+01°)
1.15829280619467e+01	(-4.28745799337452e+01dB,8.80397924266242e+01°)
1.15909595190448e+01	(-4.28685663828706e+01dB,8.80384343047079e+01°)
1.15989965450546e+01	(-4.28625528417633e+01dB,8.80370752432945e+01°)
1.16070391438375e+01	(-4.28565393104369e+01dB,8.80357152417368e+01°)
1.16150873192575e+01	(-4.28505257889050e+01dB,8.80343542993878e+01°)
1.16231410751814e+01	(-4.28445122771809e+01dB,8.80329924155996e+01°)
1.16312004154788e+01	(-4.28384987752784e+01dB,8.80316295897241e+01°)
1.16392653440216e+01	(-4.28324852832111e+01dB,8.80302658211126e+01°)
1.16473358646848e+01	(-4.28264718009925e+01dB,8.80289011091162e+01°)
1.16554119813459e+01	(-4.28204583286362e+01dB,8.80275354530854e+01°)
1.16634936978850e+01	(-4.28144448661560e+01dB,8.80261688523702e+01°)
1.16715810181850e+01	(-4.28084314135655e+01dB,8.80248013063202e+01°)
1.16796739461315e+01	(-4.28024179708783e+01dB,8.80234328142847e+01°)
1.16877724856127e+01	(-4.27964045381083e+01dB,8.80220633756124e+01°)
1.16958766405198e+01	(-4.27903911152690e+01dB,8.80206929896516e+01°)
1.17039864147462e+01	(-4.27843777023743e+01dB,8.80193216557502e+01°)
1.17121018121884e+01	(-4.27783642994379e+01dB,8.80179493732555e+01°)
1.17202228367454e+01	(-4.27723509064736e+01dB,8.80165761415146e+01°)
1.17283494923191e+01	(-4.27663375234952e+01dB,8.80152019598741e+01°)
1.17364817828138e+01	(-4.27603241505165e+01dB,8.80138268276799e+01°)
1.17446197121368e+01	(-4.27543107875514e+01dB,8.80124507442778e+01°)
1.17527632841980e+01	(-4.27482974346137e+01dB,8.80110737090130e+01°)
1.17609125029099e+01	(-4.27422840917172e+01dB,8.80096957212301e+01°)
1.17690673721880e+01	(-4.27362707588760e+01dB,8.80083167802737e+01°)
1.17772278959501e+01	(-4.27302574361038e+01dB,8.80069368854874e+01°)
1.17853940781171e+01	(-4.27242441234147e+01dB,8.80055560362148e+01°)
1.17935659226125e+01	(-4.27182308208226e+01dB,8.80041742317988e+01°)
1.18017434333623e+01	(-4.27122175283415e+01dB,8.80027914715820e+01°)
1.18099266142956e+01	(-4.27062042459853e+01dB,8.80014077549064e+01°)
1.18181154693440e+01	(-4.27001909737681e+01dB,8.80000230811138e+01°)
1.18263100024417e+01	(-4.26941777117038e+01dB,8.79986374495452e+01°)
1.18345102175260e+01	(-4.26881644598067e+01dB,8.79972508595415e+01°)
1.18427161185366e+01	(-4.26821512180906e+01dB,8.79958633104429e+01°)
1.18509277094161e+01	(-4.26761379865698e+01dB,8.79944748015894e+01°)
1.18591449941098e+01	(-4.26701247652582e+01dB,8.79930853323203e+01°)
1.18673679765656e+01	(-4.26641115541701e+01dB,8.79916949019746e+01°)
1.18755966607344e+01	(-4.26580983533196e+01dB,8.79903035098907e+01°)
1.18838310505696e+01	(-4.26520851627209e+01dB,8.79889111554069e+01°)
1.18920711500275e+01	(-4.26460719823881e+01dB,8.79875178378606e+01°)
1.19003169630671e+01	(-4.26400588123355e+01dB,8.79861235565891e+01°)
1.19085684936500e+01	(-4.26340456525772e+01dB,8.79847283109291e+01°)
1.19168257457408e+01	(-4.26280325031276e+01dB,8.79833321002168e+01°)
1.19250887233066e+01	(-4.26220193640009e+01dB,8.79819349237880e+01°)
1.19333574303175e+01	(-4.26160062352113e+01dB,8.79805367809782e+01°)
1.19416318707462e+01	(-4.26099931167732e+01dB,8.79791376711223e+01°)
1.19499120485682e+01	(-4.26039800087009e+01dB,8.79777375935546e+01°)
1.19581979677616e+01	(-4.25979669110088e+01dB,8.79763365476093e+01°)
1.19664896323075e+01	(-4.25919538237112e+01dB,8.79749345326199e+01°)
1.19747870461896e+01	(-4.25859407468224e+01dB,8.79735315479195e+01°)
1.19830902133945e+01	(-4.25799276803570e+01dB,8.79721275928408e+01°)
1.19913991379115e+01	(-4.25739146243293e+01dB,8.79707226667160e+01°)
1.19997138237325e+01	(-4.25679015787538e+01dB,8.79693167688768e+01°)
1.20080342748524e+01	(-4.25618885436449e+01dB,8.79679098986545e+01°)
1.20163604952689e+01	(-4.25558755190171e+01dB,8.79665020553800e+01°)
1.20246924889821e+01	(-4.25498625048849e+01dB,8.79650932383838e+01°)
1.20330302599954e+01	(-4.25438495012629e+01dB,8.79636834469956e+01°)
1.20413738123145e+01	(-4.25378365081655e+01dB,8.79622726805451e+01°)
1.20497231499482e+01	(-4.25318235256075e+01dB,8.79608609383612e+01°)
1.20580782769080e+01	(-4.25258105536032e+01dB,8.79594482197726e+01°)
1.20664391972080e+01	(-4.25197975921673e+01dB,8.79580345241074e+01°)
1.20748059148653e+01	(-4.25137846413146e+01dB,8.79566198506932e+01°)
1.20831784338998e+01	(-4.25077717010595e+01dB,8.79552041988572e+01°)
1.20915567583340e+01	(-4.25017587714168e+01dB,8.79537875679263e+01°)
1.20999408921933e+01	(-4.24957458524011e+01dB,8.79523699572267e+01°)
1.21083308395059e+01	(-4.24897329440272e+01dB,8.79509513660842e+01°)
1.21167266043028e+01	(-4.24837200463098e+01dB,8.79495317938243e+01°)
1.21251281906177e+01	(-4.24777071592636e+01dB,8.79481112397718e+01°)
1.21335356024873e+01	(-4.24716942829034e+01dB,8.79466897032514e+01°)
1.21419488439508e+01	(-4.24656814172440e+01dB,8.79452671835869e+01°)
1.21503679190505e+01	(-4.24596685623002e+01dB,8.79438436801020e+01°)
1.21587928318313e+01	(-4.24536557180868e+01dB,8.79424191921197e+01°)
1.21672235863411e+01	(-4.24476428846186e+01dB,8.79409937189627e+01°)
1.21756601866302e+01	(-4.24416300619106e+01dB,8.79395672599532e+01°)
1.21841026367523e+01	(-4.24356172499776e+01dB,8.79381398144128e+01°)
1.21925509407634e+01	(-4.24296044488345e+01dB,8.79367113816630e+01°)
1.22010051027226e+01	(-4.24235916584962e+01dB,8.79352819610244e+01°)
1.22094651266917e+01	(-4.24175788789778e+01dB,8.79338515518175e+01°)
1.22179310167354e+01	(-4.24115661102942e+01dB,8.79324201533620e+01°)
1.22264027769211e+01	(-4.24055533524603e+01dB,8.79309877649776e+01°)
1.22348804113191e+01	(-4.23995406054912e+01dB,8.79295543859830e+01°)
1.22433639240024e+01	(-4.23935278694019e+01dB,8.79281200156968e+01°)
1.22518533190472e+01	(-4.23875151442074e+01dB,8.79266846534371e+01°)
1.22603486005320e+01	(-4.23815024299230e+01dB,8.79252482985214e+01°)
1.22688497725384e+01	(-4.23754897265635e+01dB,8.79238109502669e+01°)
1.22773568391510e+01	(-4.23694770341442e+01dB,8.79223726079902e+01°)
1.22858698044569e+01	(-4.23634643526802e+01dB,8.79209332710076e+01°)
1.22943886725462e+01	(-4.23574516821866e+01dB,8.79194929386346e+01°)
1.23029134475118e+01	(-4.23514390226787e+01dB,8.79180516101867e+01°)
1.23114441334496e+01	(-4.23454263741716e+01dB,8.79166092849786e+01°)
1.23199807344580e+01	(-4.23394137366805e+01dB,8.79151659623247e+01°)
1.23285232546385e+01	(-4.23334011102207e+01dB,8.79137216415388e+01°)
1.23370716980954e+01	(-4.23273884948075e+01dB,8.79122763219344e+01°)
1.23456260689358e+01	(-4.23213758904561e+01dB,8.79108300028244e+01°)
1.23541863712697e+01	(-4.23153632971818e+01dB,8.79093826835213e+01°)
1.23627526092099e+01	(-4.23093507150000e+01dB,8.79079343633371e+01°)
1.23713247868721e+01	(-4.23033381439260e+01dB,8.79064850415833e+01°)
1.23799029083749e+01	(-4.22973255839752e+01dB,8.79050347175711e+01°)
1.23884869778395e+01	(-4.22913130351630e+01dB,8.79035833906111e+01°)
1.23970769993903e+01	(-4.22853004975047e+01dB,8.79021310600134e+01°)
1.24056729771543e+01	(-4.22792879710159e+01dB,8.79006777250878e+01°)
1.24142749152615e+01	(-4.22732754557119e+01dB,8.78992233851433e+01°)
1.24228828178448e+01	(-4.22672629516082e+01dB,8.78977680394889e+01°)
1.24314966890398e+01	(-4.22612504587204e+01dB,8.78963116874327e+01°)
1.24401165329851e+01	(-4.22552379770640e+01dB,8.78948543282827e+01°)
1.24487423538221e+01	(-4.22492255066544e+01dB,8.78933959613461e+01°)
1.24573741556952e+01	(-4.22432130475073e+01dB,8.78919365859298e+01°)
1.24660119427514e+01	(-4.22372005996382e+01dB,8.78904762013403e+01°)
1.24746557191409e+01	(-4.22311881630628e+01dB,8.78890148068834e+01°)
1.24833054890166e+01	(-4.22251757377966e+01dB,8.78875524018648e+01°)
1.24919612565342e+01	(-4.22191633238553e+01dB,8.78860889855892e+01°)
1.25006230258525e+01	(-4.22131509212546e+01dB,8.78846245573614e+01°)
1.25092908011331e+01	(-4.22071385300101e+01dB,8.78831591164854e+01°)
1.25179645865404e+01	(-4.22011261501377e+01dB,8.78816926622647e+01°)
1.25266443862417e+01	(-4.21951137816529e+01dB,8.78802251940025e+01°)
1.25353302044073e+01	(-4.21891014245716e+01dB,8.78787567110014e+01°)
1.25440220452104e+01	(-4.21830890789096e+01dB,8.78772872125637e+01°)
1.25527199128269e+01	(-4.21770767446825e+01dB,8.78758166979910e+01°)
1.25614238114357e+01	(-4.21710644219064e+01dB,8.78743451665845e+01°)
1.25701337452187e+01	(-4.21650521105969e+01dB,8.78728726176450e+01°)
1.25788497183606e+01	(-4.21590398107700e+01dB,8.78713990504729e+01°)
1.25875717350490e+01	(-4.21530275224416e+01dB,8.78699244643679e+01°)
1.25962997994745e+01	(-4.21470152456275e+01dB,8.78684488586293e+01°)
1.26050339158303e+01	(-4.21410029803436e+01dB,8.78669722325562e+01°)
1.26137740883130e+01	(-4.21349907266060e+01dB,8.78654945854467e+01°)
1.26225203211216e+01	(-4.21289784844307e+01dB,8.78640159165989e+01°)
1.26312726184585e+01	(-4.21229662538335e+01dB,8.78625362253103e+01°)
1.26400309845285e+01	(-4.21169540348305e+01dB,8.78610555108777e+01°)
1.26487954235398e+01	(-4.21109418274378e+01dB,8.78595737725977e+01°)
1.26575659397033e+01	(-4.21049296316714e+01dB,8.78580910097663e+01°)
1.26663425372326e+01	(-4.20989174475475e+01dB,8.78566072216790e+01°)
1.26751252203447e+01	(-4.20929052750820e+01dB,8.78551224076310e+01°)
1.26839139932591e+01	(-4.20868931142912e+01dB,8.78536365669168e+01°)
1.26927088601985e+01	(-4.20808809651911e+01dB,8.78521496988305e+01°)
1.27015098253884e+01	(-4.20748688277980e+01dB,8.78506618026658e+01°)
1.27103168930571e+01	(-4.20688567021281e+01dB,8.78491728777159e+01°)
1.27191300674362e+01	(-4.20628445881976e+01dB,8.78476829232733e+01°)
1.27279493527599e+01	(-4.20568324860226e+01dB,8.78461919386304e+01°)
1.27367747532655e+01	(-4.20508203956195e+01dB,8.78446999230789e+01°)
1.27456062731931e+01	(-4.20448083170046e+01dB,8.78432068759099e+01°)
1.27544439167859e+01	(-4.20387962501942e+01dB,8.78417127964144e+01°)
1.27632876882900e+01	(-4.20327841952045e+01dB,8.78402176838825e+01°)
1.27721375919544e+01	(-4.20267721520521e+01dB,8.78387215376041e+01°)
1.27809936320310e+01	(-4.20207601207531e+01dB,8.78372243568685e+01°)
1.27898558127748e+01	(-4.20147481013240e+01dB,8.78357261409646e+01°)
1.27987241384436e+01	(-4.20087360937813e+01dB,8.78342268891807e+01°)
