Voltage,Fall_Time,Rise_Time,Run_Number
511.2,21.26,3.94,1
511.2,22.91,4.4,2
511.2,6.58,1.98,3
511.2,21.33,3.17,4
511.2,12.04,2.54,5
512.3,5.65,4.39,6
512.3,5.85,4.72,7
512.3,11.29,3.07,8
512.3,9.53,1.36,9
512.3,8.02,0.71,10
512.3,12.81,5.92,11
512.3,19.48,1.31,12
512.3,41.36,6.7,13
512.3,12.76,1.18,14
