Voltage,Fall_Time,Rise_Time,Run_Number
511.3,10.59,3.22,1
511.3,10.66,4.77,2
511.3,10.11,4.14,3
511.3,8.3,3.36,4
511.3,13.67,3.69,5
511.3,9.98,3.16,6
511.3,10.3,3.41,7
511.3,10.64,3.17,8
511.3,9.91,3.01,9
511.3,9.15,3.39,10
