time	V(vb)	V(vc)	V(ve)	V(vin)	V(vout)
2.526392404487450e-04	2.372249e+00	6.156350e+00	1.583842e+00	9.991904e-01	-2.821796e+00
2.700778565201735e-04	2.365112e+00	6.170503e+00	1.576949e+00	9.920533e-01	-2.784732e+00
2.847262940201736e-04	2.348583e+00	6.214148e+00	1.560927e+00	9.755246e-01	-2.722382e+00
2.993747315201736e-04	2.324496e+00	6.280605e+00	1.537612e+00	9.514370e-01	-2.638081e+00
3.140231690201736e-04	2.292849e+00	6.369871e+00	1.507004e+00	9.197905e-01	-2.531828e+00
3.286716065201736e-04	2.253644e+00	6.481948e+00	1.469104e+00	8.805850e-01	-2.403623e+00
3.433200440201736e-04	2.206879e+00	6.616836e+00	1.423911e+00	8.338206e-01	-2.253468e+00
3.579684815201736e-04	2.152556e+00	6.774534e+00	1.371426e+00	7.794972e-01	-2.081360e+00
3.726169190201736e-04	2.090674e+00	6.955042e+00	1.311649e+00	7.176149e-01	-1.887301e+00
3.830800886630308e-04	2.042787e+00	7.095217e+00	1.265420e+00	6.697280e-01	-1.738431e+00
3.935432583058880e-04	1.992578e+00	7.242401e+00	1.217010e+00	6.195196e-01	-1.583351e+00
4.040064279487451e-04	1.940048e+00	7.396593e+00	1.166420e+00	5.669896e-01	-1.422061e+00
4.144695975916023e-04	1.885197e+00	7.557793e+00	1.113649e+00	5.121381e-01	-1.254562e+00
4.249327672344594e-04	1.828024e+00	7.726002e+00	1.058698e+00	4.549650e-01	-1.080852e+00
4.353959368773166e-04	1.768529e+00	7.901220e+00	1.001566e+00	3.954704e-01	-9.009331e-01
4.458591065201737e-04	1.706713e+00	8.083446e+00	9.422531e-01	3.336542e-01	-7.148041e-01
4.507419190201737e-04	1.677569e+00	8.169346e+00	9.143315e-01	3.045102e-01	-6.274126e-01
4.556247315201737e-04	1.648208e+00	8.255868e+00	8.862307e-01	2.751494e-01	-5.395971e-01
4.605075440201737e-04	1.618630e+00	8.343011e+00	8.579504e-01	2.455716e-01	-4.513574e-01
4.653903565201737e-04	1.588836e+00	8.430774e+00	8.294909e-01	2.157769e-01	-3.626936e-01
4.702731690201737e-04	1.558824e+00	8.519159e+00	8.008520e-01	1.857653e-01	-2.736056e-01
4.751559815201737e-04	1.528595e+00	8.608164e+00	7.720338e-01	1.555368e-01	-1.840935e-01
4.800387940201737e-04	1.498150e+00	8.697790e+00	7.430363e-01	1.250914e-01	-9.415731e-02
4.898044190201737e-04	1.437076e+00	8.877392e+00	6.849937e-01	6.401692e-02	8.546334e-02
4.946872315201737e-04	1.406434e+00	8.967403e+00	6.559367e-01	3.337491e-02	1.751860e-01
4.995700440201738e-04	1.375760e+00	9.057425e+00	6.268976e-01	2.701490e-03	2.647213e-01
5.044528565201738e-04	1.345084e+00	9.147362e+00	5.979080e-01	-2.797447e-02	3.539718e-01
5.093356690201738e-04	1.314435e+00	9.237111e+00	5.690001e-01	-5.862411e-02	4.428383e-01
5.191012940201738e-04	1.253330e+00	9.415645e+00	5.115600e-01	-1.197291e-01	6.190171e-01
5.288669190201738e-04	1.192675e+00	9.592196e+00	4.548441e-01	-1.803834e-01	7.924386e-01
5.386325440201738e-04	1.132700e+00	9.765900e+00	3.991297e-01	-2.403588e-01	9.622529e-01
5.532809815201738e-04	1.044503e+00	1.001910e+01	3.180823e-01	-3.285560e-01	1.208236e+00
5.630466065201738e-04	9.872046e-01	1.018153e+01	2.662060e-01	-3.858542e-01	1.364956e+00
5.728122315201738e-04	9.313586e-01	1.033749e+01	2.164886e-01	-4.417001e-01	1.514537e+00
5.825778565201738e-04	8.771752e-01	1.048556e+01	1.693897e-01	-4.958835e-01	1.655576e+00
5.874606690201738e-04	8.507709e-01	1.055607e+01	1.470025e-01	-5.222878e-01	1.722343e+00
5.923434815201738e-04	8.248581e-01	1.062385e+01	1.255133e-01	-5.482006e-01	1.786231e+00
5.972262940201738e-04	7.994613e-01	1.068852e+01	1.050413e-01	-5.735974e-01	1.846875e+00
6.021091065201738e-04	7.746044e-01	1.074962e+01	8.573668e-02	-5.984544e-01	1.903816e+00
6.069919190201738e-04	7.503107e-01	1.080654e+01	6.779306e-02	-6.227481e-01	1.956459e+00
6.118747315201739e-04	7.266031e-01	1.085850e+01	5.146195e-02	-6.464556e-01	2.004031e+00
6.167575440201739e-04	7.035039e-01	1.090451e+01	3.706345e-02	-6.695548e-01	2.045550e+00
6.216403565201739e-04	6.810349e-01	1.094330e+01	2.500214e-02	-6.920239e-01	2.079772e+00
6.265231690201739e-04	6.592172e-01	1.097396e+01	1.557467e-02	-7.138416e-01	2.105788e+00
6.314059815201739e-04	6.380713e-01	1.099601e+01	8.927101e-03	-7.349874e-01	2.123159e+00
6.362887940201739e-04	6.176172e-01	1.101038e+01	4.766030e-03	-7.554415e-01	2.132807e+00
6.411716065201739e-04	5.978740e-01	1.101909e+01	2.431256e-03	-7.751847e-01	2.136786e+00
