VA,VB,VY,VCC,,VA,VB,VY
4.957,4.958,3.871,4.959,,1,0,0
4.957,0,0.95,4.959,,0,1,0
0,4.957,0.95,4.959,,1,1,1
0,0,0.95,4.959,,0,0,0
