Vin,Vout,R1,R2,V+12,V-12
1.029,1.132,9999,9990,12.12,12.08
1.029,11.26,999,9990,12.12,12.08
1.029,1.097,100200,9990,12.12,12.08
1.029,11.3,100.5,9990,12.12,12.08
